"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.706873070E-1,-2.792625129E-1,1.444025040E0,-1.395212531E0,2.027267588E0
3.731910020E-1,-2.109249979E-1,1.527074933E0,-1.412400007E0,2.090770429E0
3.756956150E-1,-1.509750038E-1,1.608887434E0,-1.428212523E0,2.156641658E0
3.782002360E-1,-1.069749966E-1,1.692075014E0,-1.435637474E0,2.221624734E0
3.807049280E-1,-7.644999772E-2,1.764124990E0,-1.435637474E0,2.275749665E0
3.832095450E-1,-5.816249922E-2,1.825175047E0,-1.426975012E0,2.317521200E0
3.857141610E-1,-4.468749836E-2,1.875224948E0,-1.417212486E0,2.350948066E0
3.882187850E-1,-3.739999980E-2,1.915650010E0,-1.408687472E0,2.378132485E0
3.907245520E-1,-3.863750026E-2,1.941224933E0,-1.407449961E0,2.398074746E0
3.932282470E-1,-4.468749836E-2,1.964462519E0,-1.412400007E0,2.419913994E0
3.957328600E-1,-6.063750014E-2,1.981512547E0,-1.423400044E0,2.440519733E0
3.982374900E-1,-8.139999956E-2,1.994987488E0,-1.436737537E0,2.459840602E0
4.007421830E-1,-1.082125008E-1,2.010937452E0,-1.452687502E0,2.483119079E0
4.032467230E-1,-1.399749964E-1,2.029224873E0,-1.470975041E0,2.510202015E0
4.057513370E-1,-1.754499972E-1,2.049987555E0,-1.492974997E0,2.542086941E0
4.082559370E-1,-2.084500045E-1,2.065799952E0,-1.533262491E0,2.581060772E0
4.107615520E-1,-2.439250052E-1,2.084224939E0,-1.574924946E0,2.623715227E0
4.132651700E-1,-2.756874859E-1,2.108562469E0,-1.617687464E0,2.671881735E0
4.157698600E-1,-3.049750030E-1,2.131799936E0,-1.660312533E0,2.719231220E0
4.182744850E-1,-3.305499852E-1,2.157512426E0,-1.695787549E0,2.764022173E0
4.207791010E-1,-3.599750102E-1,2.179512501E0,-1.717787504E0,2.798329977E0
4.232839470E-1,-3.929750025E-1,2.208800077E0,-1.731262445E0,2.833813118E0
4.257885640E-1,-4.320249856E-1,2.246612549E0,-1.738549948E0,2.873407290E0
4.282929490E-1,-4.747875035E-1,2.290612459E0,-1.742262483E0,2.916814559E0
4.307987060E-1,-5.235999823E-1,2.337087393E0,-1.744737506E0,2.963147547E0
4.333021700E-1,-5.737875104E-1,2.387137413E0,-1.748312473E0,3.014009562E0
4.358070140E-1,-6.263124943E-1,2.445849895E0,-1.761787534E0,3.078691989E0
4.383116290E-1,-6.861249804E-1,2.517899990E0,-1.781312466E0,3.159693332E0
4.408162450E-1,-7.459374666E-1,2.600950003E0,-1.800837517E0,3.250289123E0
4.433208600E-1,-8.058875203E-1,2.691425085E0,-1.819262505E0,3.347079286E0
4.458254760E-1,-8.632249832E-1,2.779287577E0,-1.836312532E0,3.441168482E0
4.483301680E-1,-9.169874787E-1,2.867287397E0,-1.848549962E0,3.532610935E0
4.508359370E-1,-9.622250199E-1,2.949100018E0,-1.870550036E0,3.622433621E0
