"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.835862010E-1,-1.150462508E0,6.924499869E-1,1.196249947E-2,1.342830618E0
5.860910470E-1,-1.206562519E0,4.738250077E-1,1.319999993E-2,1.296332322E0
5.885954340E-1,-1.259087443E0,1.904374957E-1,1.429999992E-2,1.273488170E0
5.911002780E-1,-1.305562496E0,-1.651374996E-1,1.429999992E-2,1.316042672E0
5.936058170E-1,-1.353274941E0,-5.988125205E-1,1.196249947E-2,1.479889389E0
5.961095110E-1,-1.397274971E0,-1.098487496E0,7.012499962E-3,1.777386086E0
5.986141240E-1,-1.435087442E0,-1.665400028E0,-2.749999985E-4,2.198416088E0
6.011190470E-1,-1.474137545E0,-2.293362379E0,-1.746249944E-2,2.726334066E0
6.036234340E-1,-1.509612441E0,-2.977562428E0,-4.551250115E-2,3.338694224E0
6.061282780E-1,-1.540137529E0,-3.708100080E0,-1.029874980E-1,4.016545312E0
6.086328960E-1,-1.567087531E0,-4.483874798E0,-1.908500046E-1,4.753663877E0
6.111375110E-1,-1.588950038E0,-5.298699856E0,-3.143250048E-1,5.540738452E0
6.136431480E-1,-1.604900002E0,-6.150237560E0,-4.694249928E-1,6.373498717E0
6.161467660E-1,-1.617137432E0,-7.040962696E0,-6.527125239E-1,7.253710968E0
6.186514560E-1,-1.619612455E0,-7.980362415E0,-8.530499935E-1,8.187614004E0
6.211560710E-1,-1.609850049E0,-8.980950356E0,-1.058337450E0,9.185268892E0
6.236609180E-1,-1.586612463E0,-1.003777504E1,-1.258674979E0,1.024004539E1
6.261655490E-1,-1.547425032E0,-1.115193748E1,-1.454200029E0,1.135230953E1
6.286701640E-1,-1.503562450E0,-1.232233715E1,-1.637349963E0,1.252124626E1
6.311748550E-1,-1.463137507E0,-1.351597500E1,-1.825587511E0,1.371696473E1
6.336806240E-1,-1.430137515E0,-1.477918720E1,-2.016162395E0,1.498447792E1
6.361843080E-1,-1.420374990E0,-1.614263725E1,-2.207974911E0,1.635473497E1
6.386889220E-1,-1.441137433E0,-1.761608696E1,-2.401025057E0,1.783727328E1
6.411933080E-1,-1.496137500E0,-1.918468666E1,-2.586649895E0,1.941600853E1
6.436981520E-1,-1.592662454E0,-2.082052422E1,-2.749175072E0,2.106154709E1
6.462027940E-1,-1.713662505E0,-2.251754951E1,-2.859037399E0,2.276292534E1
6.487074840E-1,-1.825999975E0,-2.427686310E1,-2.909224987E0,2.451864490E1
6.512121010E-1,-1.924999952E0,-2.601156235E1,-2.915275097E0,2.624511058E1
6.537178690E-1,-2.022762537E0,-2.756558800E1,-2.909224987E0,2.779238745E1
6.562215630E-1,-2.130287409E0,-2.869817543E1,-2.865225077E0,2.891942102E1
