"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.404463860E-1,-2.363487482E0,-1.670074940E0,-1.014750004E-1,2.895776331E0
2.429510010E-1,-2.329387426E0,-1.628549933E0,-3.423750028E-2,2.842427286E0
2.454566150E-1,-2.285387516E0,-1.562687516E0,3.904999793E-2,2.768846921E0
2.479602460E-1,-2.236437559E0,-1.467399955E0,1.148125008E-1,2.677330292E0
2.504648600E-1,-2.176625013E0,-1.351212502E0,1.941500008E-1,2.569273418E0
2.529694750E-1,-2.105812550E0,-1.213162541E0,2.711499929E-1,2.445349088E0
2.554741670E-1,-2.027575016E0,-1.054350019E0,3.469125032E-1,2.311506585E0
2.579787850E-1,-1.935999990E0,-8.833000064E-1,4.164874852E-1,2.168358062E0
2.604834150E-1,-1.830812454E0,-6.989125013E-1,4.789125025E-1,2.017352253E0
2.629880300E-1,-1.713524938E0,-5.229125023E-1,5.277249813E-1,1.867645270E0
2.654937980E-1,-1.587712526E0,-3.580499887E-1,5.667750239E-1,1.723445615E0
2.679974920E-1,-1.452137470E0,-2.089999914E-1,5.887749791E-1,1.580835287E0
2.705021140E-1,-1.321375012E0,-8.318749815E-2,5.961999893E-1,1.452035299E0
2.730067300E-1,-1.189512491E0,2.076249942E-2,5.875374675E-1,1.326865224E0
2.755113450E-1,-1.062462449E0,1.062875018E-1,5.631999969E-1,1.207194154E0
2.780159610E-1,-9.464125037E-1,1.783374995E-1,5.227749944E-1,1.095807732E0
2.805206530E-1,-8.388875127E-1,2.393874973E-1,4.702500105E-1,9.910467724E-1
2.830252700E-1,-7.386500239E-1,3.004375100E-1,4.092000127E-1,8.962762998E-1
2.855310370E-1,-6.458374858E-1,3.591499925E-1,3.383874893E-1,8.127735651E-1
2.880345010E-1,-5.553625226E-1,4.177249968E-1,2.638624907E-1,7.433337867E-1
2.905393550E-1,-4.687374830E-1,4.531999826E-1,1.819124967E-1,6.769026582E-1
2.930439710E-1,-3.745499849E-1,4.494875073E-1,8.910000324E-2,5.918323420E-1
2.955486630E-1,-2.829749882E-1,4.164874852E-1,-8.662499487E-3,5.035987571E-1
2.980532800E-1,-1.962125003E-1,3.651999831E-1,-1.087625027E-1,4.286019773E-1
3.005578240E-1,-1.241625026E-1,3.029125035E-1,-2.065249979E-1,3.870721982E-1
3.030625140E-1,-7.287500054E-2,2.344374955E-1,-2.980999947E-1,3.861804135E-1
3.055682830E-1,-4.344999790E-2,1.538625062E-1,-3.836250007E-1,4.156076446E-1
3.080717470E-1,-3.135000169E-2,6.104999781E-2,-4.606249928E-1,4.657094683E-1
3.105765860E-1,-3.368749842E-2,-3.423750028E-2,-5.278624892E-1,5.300432638E-1
3.130812010E-1,-4.839999974E-2,-1.357125044E-1,-5.889124870E-1,6.062824104E-1
3.155858170E-1,-7.039999962E-2,-2.334749997E-1,-6.439124942E-1,6.885419636E-1
3.180904320E-1,-9.611249715E-2,-3.213374913E-1,-6.939625144E-1,7.707654421E-1
3.205950480E-1,-1.216875017E-1,-4.056249857E-1,-7.391999960E-1,8.519132064E-1
3.230996530E-1,-1.436875015E-1,-4.911499918E-1,-7.794874907E-1,9.324565194E-1
3.256054990E-1,-1.669249982E-1,-5.828624964E-1,-8.112499714E-1,1.012777942E0
3.281089630E-1,-1.949750036E-1,-6.769124866E-1,-8.307750225E-1,1.089225828E0
3.306135760E-1,-2.231625021E-1,-7.782499790E-1,-8.442500234E-1,1.169714766E0
3.331184410E-1,-2.694999874E-1,-8.699625134E-1,-8.527749777E-1,1.247673908E0
3.356228280E-1,-3.207874894E-1,-9.517750144E-1,-8.577250242E-1,1.320784808E0
3.381274410E-1,-3.757874966E-1,-1.043349981E0,-8.540124893E-1,1.399690236E0
3.406322870E-1,-4.210250080E-1,-1.135062456E0,-8.417750001E-1,1.474521613E0
3.431369050E-1,-4.662624896E-1,-1.218112469E0,-8.210124969E-1,1.541187924E0
3.456425180E-1,-5.126000047E-1,-1.292637467E0,-7.904874682E-1,1.599543943E0
3.481462120E-1,-5.493124723E-1,-1.358637452E0,-7.489625216E-1,1.645777864E0
3.506508260E-1,-5.700749755E-1,-1.414737463E0,-6.976749897E-1,1.677265023E0
3.531554410E-1,-5.773624778E-1,-1.463687539E0,-6.499624848E-1,1.702404145E0
3.556602870E-1,-5.663625002E-1,-1.505212545E0,-6.072000265E-1,1.719047166E0
3.581648960E-1,-5.468375087E-1,-1.550449967E0,-5.669124722E-1,1.739056098E0
3.606692800E-1,-5.297874808E-1,-1.584687471E0,-5.278624892E-1,1.752297910E0
3.631741250E-1,-5.175499916E-1,-1.602975011E0,-4.911499918E-1,1.754598300E0
3.656797400E-1,-5.090249777E-1,-1.596787453E0,-4.533374906E-1,1.736188779E0
3.681833570E-1,-5.028374791E-1,-1.565024972E0,-4.178625047E-1,1.696100754E0
3.706879710E-1,-4.992625117E-1,-1.507687449E0,-3.836250007E-1,1.633876569E0
3.731925860E-1,-4.967874885E-1,-1.422162533E0,-3.495250046E-1,1.546451359E0
3.756972780E-1,-4.967874885E-1,-1.309687495E0,-3.152875006E-1,1.435787363E0
3.782018960E-1,-4.943124950E-1,-1.169299960E0,-2.822875082E-1,1.300497396E0
3.807065110E-1,-4.894999862E-1,-1.006775022E0,-2.480500042E-1,1.146618936E0
3.832111160E-1,-4.796000123E-1,-8.174374700E-1,-2.138125002E-1,9.715636749E-1
3.857168830E-1,-4.625499845E-1,-6.059625149E-1,-1.735250056E-1,7.818273372E-1
3.882205770E-1,-4.393124878E-1,-3.788124919E-1,-1.319999993E-1,5.949103847E-1
3.907251910E-1,-4.039750099E-1,-1.369500011E-1,-8.195000142E-2,4.343580484E-1
3.932297920E-1,-3.647874892E-1,1.038125008E-1,-2.076249942E-2,3.798394779E-1
3.957344070E-1,-3.257375062E-1,3.273875117E-1,5.486249924E-2,4.650778425E-1
3.982390230E-1,-2.866874933E-1,5.314375162E-1,1.453374922E-1,6.210785289E-1
4.007437150E-1,-2.451625019E-1,7.122499943E-1,2.528625131E-1,7.945716816E-1
4.032483270E-1,-2.011625022E-1,8.636375070E-1,3.749625087E-1,9.627735864E-1
4.057540950E-1,-1.534499973E-1,9.686874747E-1,4.996750057E-1,1.100716783E0
4.082577890E-1,-1.021625027E-1,1.022449970E0,6.267250180E-1,1.203588537E0
4.107624020E-1,-4.839999974E-2,1.010349989E0,7.525374889E-1,1.260738804E0
4.132670950E-1,2.887499984E-3,9.406374693E-1,8.722999692E-1,1.282854015E0
4.157716490E-1,5.541250110E-2,8.196374774E-1,9.821624756E-1,1.280437139E0
4.182763390E-1,9.941250086E-2,6.780124903E-1,1.081162453E0,1.280037512E0
4.207808800E-1,1.361249983E-1,5.277249813E-1,1.166687489E0,1.287704689E0
4.232858010E-1,1.592250019E-1,3.811500072E-1,1.232687473E0,1.300056282E0
4.257911090E-1,1.629374921E-1,2.393874973E-1,1.281499982E0,1.313810186E0
4.282948030E-1,1.616999954E-1,9.281250089E-2,1.305974960E0,1.319216300E0
4.307996470E-1,1.361249983E-1,-5.747500062E-2,1.303499937E0,1.311848115E0
4.333042630E-1,9.459999949E-2,-2.162874937E-1,1.269262552E0,1.291029382E0
4.358088780E-1,3.464999795E-2,-3.775750101E-1,1.204499960E0,1.262768254E0
4.383135850E-1,-3.863750026E-2,-5.193374753E-1,1.118975043E0,1.234224217E0
4.408181260E-1,-1.192125008E-1,-6.389625072E-1,1.022449970E0,1.211564545E0
4.433227390E-1,-2.096875012E-1,-7.391999960E-1,9.174000025E-1,1.196665470E0
4.458283550E-1,-2.976875007E-1,-8.259624839E-1,8.087750077E-1,1.193712229E0
4.483320490E-1,-3.832125068E-1,-8.980125189E-1,7.085375190E-1,1.206359700E0
4.508366620E-1,-4.600749910E-1,-9.578250051E-1,6.205375195E-1,1.230513938E0
4.533415080E-1,-5.346000195E-1,-9.933000207E-1,5.497249961E-1,1.254846478E0
4.558461260E-1,-5.871250033E-1,-9.994875193E-1,4.984374940E-1,1.261796737E0
4.583507360E-1,-6.165499687E-1,-9.933000207E-1,4.617249966E-1,1.256968085E0
4.608553520E-1,-6.373124719E-1,-9.652500153E-1,4.349125028E-1,1.235727989E0
4.633599670E-1,-6.275500059E-1,-9.420124888E-1,4.177249968E-1,1.206524228E0
4.658655800E-1,-5.920749903E-1,-9.212499857E-1,4.104374945E-1,1.169492739E0
4.683691790E-1,-5.297874808E-1,-9.347249866E-1,4.092000127E-1,1.149708757E0
4.708738690E-1,-4.540250003E-1,-9.542499781E-1,4.116750062E-1,1.134111120E0
4.733784840E-1,-3.647874892E-1,-9.627749920E-1,4.116750062E-1,1.108820052E0
4.758833310E-1,-2.634499967E-1,-9.700624943E-1,4.079625010E-1,1.084832036E0
4.783879480E-1,-1.522125006E-1,-9.737749696E-1,4.031499922E-1,1.064864429E0
4.808925620E-1,-2.392499894E-2,-9.762499928E-1,3.944875002E-1,1.053212629E0
4.833971780E-1,1.067000031E-1,-9.640125036E-1,3.799124956E-1,1.041651814E0
4.859027910E-1,2.387000024E-1,-9.420124888E-1,3.603875041E-1,1.036457608E0
4.884064090E-1,3.535124958E-1,-9.297749996E-1,3.334375024E-1,1.049110672E0
4.909110270E-1,4.512749910E-1,-9.358249903E-1,3.016749918E-1,1.081861974E0
4.934156420E-1,5.307499766E-1,-9.567250013E-1,2.663374841E-1,1.126034600E0
4.959203350E-1,5.795624852E-1,-1.006775022E0,2.271499932E-1,1.183674676E0
